Region,Site,Plant,Rep,Row,OrderGard,Unique,Biomass_g,codedup,Chemo,a_thujene,a_pinene,sabinene,b_pinene,octen_3_ol,myrcene,a_phellandrene,carene,a_terpinene,p_cymene,limonene,beta_ocimene,gama_terpinene,cis_sab_hydrate,trans_sab_hydrate,borneol,terp_4_ol,cym_8_ol,a_terpineol,nerol,isoborneol_formate,thymoquinone,geraniol,geranial,thymol,carvacrol,eugenol,caryophyllene,germ_D,total,totTC
WI,STB,139,A,14,271,325,0.8397,139A,C,0.064,0.01,0.01,0,0.361,0.094,0.014,0,0.138,0.579,0.032,0,0.743,0.048,0.005,0,0,0,0,0,0.338,4.009,0,0,0,4.276,0,0.006,0.024,10.751,4.276
MT,MPG,85,B,14,272,327,0.9853,85B,C,0.049,0.009,0.004,0,0.046,0.064,0.008,0.003,0.055,0.293,0.015,0,0.167,0.023,0,0,0,0,0,0,0,2.607,0,0,0.025,6.739,0.005,0,0,10.112,6.764
WI,SDA,120,A,14,273,324,1.128,120A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WI,BEN,168,A,14,274,334,2.339,168A,C,0.052,0.012,0.009,0.004,0.138,0.066,0.011,0.006,0.063,0.287,0.025,0,0.225,0.021,0,0,0,0,0,0,0,1.284,0,0,0.019,3.968,0,0.014,0.019,6.224,3.987
MT,BF,132,B,14,275,333,0.843,132B,C,0.023,0.006,0.001,0,0.037,0.039,0.008,0.004,0.055,0.284,0.01,0,0.276,0.015,0,0,0,0,0,0,0.059,1.674,0,0,0,1.312,0,0,0,3.802,1.312
WI,SRD,182,B,14,276,309,0.902,182B,T,0,0,0,0,0.079,0.038,0.009,0.003,0.054,0.188,0.013,0,0.114,0.011,0,0,0,0,0,0,0.049,2.03,0,0,1.513,0,0,0,0,4.1,1.513
WI,BOL,20,B,14,277,246,0.6612,20B,T,0.104,0.02,0.01,0.006,0.343,0.106,0.018,0.007,0.14,1.126,0.057,0,0.326,0.081,0.013,0,0.009,0,0.012,0,0.107,4.645,0,0,7.643,0.463,0,0.009,0.018,15.263,8.106
MT,NH,2,B,14,278,298,1.338,2B,T,0.204,0.025,0.022,0.006,0.154,0.192,0.033,0.01,0.367,1.07,0.089,0,1.077,0.085,0.028,0,0.018,0,0.01,0,0,8.337,0,0,7.634,0.663,0,0,0.009,20.035,8.297
MT,NH,12,A,14,279,247,0.559,12A,T,0.129,0.027,0.025,0.009,0.008,0.177,0.017,0.006,0.183,2.201,0.083,0,1.164,0.114,0.007,0,0,0,0,0,0.159,8.787,0,0,8.314,0.537,0,0,0,21.947,8.851
WI,BEN,169,A,15,280,11,2.17,169A,T,0.074,0.014,0.008,0.005,0.856,0.075,0.011,0.006,0.097,0.746,0.032,0,0.324,0.108,0.022,0.007,0.015,0.006,0.012,0,0.02,3.337,0,0,13.133,0.928,0,0.016,0.022,19.875,14.061
WI,BEN,173,B,15,281,310,2.741,173B,T,0.016,0,0,0,0.086,0.024,0.008,0.004,0.037,0.181,0.016,0,0.094,0.012,0,0,0,0,0,0,0,2.001,0,0,1.468,0.098,0,0,0,4.044,1.566
MT,MPG,203,A,15,282,355,0.9296,203A,T,0.094,0.021,0.009,0.006,0.031,0.092,0.014,0.006,0.119,0.68,0.044,0.002,0.228,0.142,0.027,0.009,0.017,0,0.013,0,0.346,3.795,0,0,15.992,0.407,0,0,0.022,22.116,16.399
WI,UWM,37,A,15,283,354,2.7354,37A,C,0.127,0.02,0.013,0.007,0.302,0.142,0.021,0.007,0.143,0.609,0.054,0.004,0.417,0.053,0.008,0.002,0.006,0,0.005,0,0.006,1.771,0,0,0.022,11.503,0.05,0.008,0.004,15.303,11.525
WI,BEN,208,A,15,284,212,1.4513,208A,C,0.055,0.017,0.004,0.005,0.06,0.071,0.015,0.007,0.067,0.31,0.032,0,0.217,0.014,0,0,0,0,0,0,0,2.04,0,0,0.013,2.979,0,0,0,5.905,2.992
MT,MPG,205,A,15,285,256,0.375,205A,T,0.097,0.018,0.007,0.006,0.097,0.091,0.009,0.006,0.069,0.694,0.045,0,0.115,0.07,0.015,0,0.013,0,0.005,0,0.011,3.378,0,0,13.623,0.994,0,0,0,19.363,14.617
MT,NH,7,B,15,286,258,0.6239,7B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,MS,153,B,15,287,316,1.6035,153B,T,0.066,0.008,0.007,0.002,0.023,0.074,0.009,0.004,0.078,0.43,0.03,0,0.206,0.024,0,0,0.006,0,0,0,0.006,2.488,0,0,6.801,0.378,0,0,0,10.639,7.179
MT,MPG,87,A,15,288,347,1.504,87A,T,0.067,0.013,0.008,0,0.022,0.079,0.01,0.002,0.127,0.444,0.032,0,0.308,0.064,0.014,0.003,0.01,0,0,0,0.041,3.272,0,0,9.651,0.468,0,0,0.009,14.645,10.119
MT,MJS,65,A,15,289,294,1.227,65A,T,0.195,0.022,0.015,0.004,0.006,0.169,0.027,0.008,0.323,0.991,0.074,0,0.709,0.084,0.014,0.002,0.014,0,0.007,0,0.021,8.197,0,0,5.335,0.464,0,0,0.009,16.693,5.799
WI,SDA,115,B,15,290,8,2.468,115B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,MS,159,B,15,291,239,0.418,159B,T,0.036,0.006,0,0,0.037,0.058,0.01,0.003,0.081,0.28,0.023,0,0.212,0.017,0,0,0,0,0,0,0,2.845,0,0,2.958,0.115,0,0,0,6.68,3.073
MT,MJS,196,A,15,292,336,0.729,196A,T,0.296,0.045,0.03,0.011,0.042,0.347,0.062,0.017,0.526,1.661,0.154,0,0.73,0.099,0.023,0.006,0.015,0,0.011,0,0.019,7.602,0,0,19.528,1.423,0,0,0.013,32.661,20.951
WI,SRD,185,A,15,293,7,1.244,185A,C,0,0,0,0,0.078,0.032,0.005,0,0.037,0.14,0.013,0,0.187,0.01,0,0,0,0,0,0,0,0.943,0,0,0,1.26,0,0,0.005,2.712,1.26
WI,BOL,21,A,15,294,337,1.111,21A,C,0.073,0.009,0.006,0,0.147,0.075,0.009,0.005,0.061,0.373,0.035,0,0.206,0.015,0.004,0,0,0,0,0,0.093,1.507,0,0,0.005,4.716,0,0,0,7.341,4.721
WI,BEN,168,E,15,295,305,2.01,168E,T,0.069,0.015,0.007,0.006,0.155,0.056,0.011,0.007,0.072,0.261,0.022,0,0.131,0.037,0.006,0,0,0,0,0,0,1.754,0,0,4.568,0.332,0,0.008,0.022,7.537,4.9
MT,MPG,84,A,15,296,260,0.8906,84A,T,0.317,0.056,0.026,0.017,0.017,0.318,0.056,0.019,0.416,1.346,0.15,0.014,0.827,0.102,0.019,0,0.014,0,0.011,0,0.107,6.822,0,0,14.514,1.029,0,0,0.06,26.256,15.543
MT,MS,218,B,15,297,243,0.6081,218B,T,0.035,0.012,0.025,0,0.014,0.064,0.013,0.006,0.112,0.399,0.028,0,0.281,0.031,0.006,0,0.007,0,0,0,0,4.199,0,0,3.752,0.368,0,0,0,9.351,4.12
MT,MS,153,A,15,298,234,0.5562,153A,T,0.054,0.014,0.019,0.003,0.03,0.067,0.012,0.005,0.109,0.297,0.031,0,0.219,0.024,0.006,0,0,0,0,0,0.003,2.603,0,0,4.934,0.198,0,0,0.004,8.632,5.132
WI,BEN,164,A,15,299,228,0.9491,164A,C,0.011,0.004,0.007,0,0.058,0,0,0,0.007,0.103,0,0,0.052,0.001,0,0,0,0,0,0,0,0.848,0,0,0,1.432,0,0,0,2.523,1.432
MT,MS,154,B,16,300,351,1.562,154B,T,0.054,0.012,0.012,0,0.033,0.07,0.011,0,0.131,0.379,0.021,0,0.308,0.048,0.008,0,0,0,0,0,0,3.33,0,0,7.059,0.328,0,0,0,11.802,7.387
MT,BF,131,B,16,301,240,0.4292,131B,C,0.098,0.014,0,0,0.023,0.139,0.017,0,0.142,0.646,0.059,0,0.409,0.023,0,0,0,0,0,0,0.077,1.929,0,0,0.04,6.291,0,0,0,9.907,6.331
WI,BEN,173,E,16,302,348,2.583,173E,C,0.039,0.014,0.005,0.003,0.05,0.057,0.007,0.003,0.033,0.47,0.024,0,0.255,0.022,0,0,0,0,0,0,0,1.677,0,0,0.02,3.922,0,0,0.009,6.609,3.942
MT,MS,217,B,16,303,329,1.0272,217B,T,0.217,0.04,0.021,0.008,0.038,0.198,0.038,0.016,0.32,0.893,0.089,0,0.599,0.071,0.013,0.008,0.008,0,0.008,0,0.008,4.088,0,0,9.769,0.849,0.005,0,0.014,17.315,10.618
MT,MS,155,B,16,304,214,2.217,155B,T,0.242,0.034,0.021,0.011,0.055,0.25,0.026,0.011,0.249,1.598,0.105,0,0.393,0.295,0.069,0.018,0.039,0,0.026,0,0.029,6.944,0,0,31.852,2.357,0.01,0,0.014,44.649,34.209
MT,BF,128,A,16,305,16,0.763,128A,C,0.04,0.007,0.013,0,0.017,0.065,0.011,0.002,0.068,0.369,0.027,0,0.347,0.017,0,0,0,0,0,0,0.033,1.397,0,0,0,2.862,0,0,0,5.275,2.862
MT,NH,4,A,16,306,20,1.198,4A,T,0.234,0.026,0.018,0.008,0.015,0.205,0.036,0.012,0.32,0.998,0.099,0,0.441,0.067,0.01,0.004,0.011,0,0.005,0,0.132,6.171,0,0,7.345,0.517,0.016,0,0,16.689,7.862
MT,NH,1,A,16,307,350,1.187,1A,T,0.603,0.078,0.055,0.021,0.02,0.578,0.09,0.035,0.755,2.604,0.275,0.009,0.99,0.295,0.058,0.019,0.045,0,0.033,0,0.019,12.448,0,0,28.128,2.461,0.028,0,0.026,49.675,30.589
MT,MJS,59,B,16,308,306,1.254,59B,T,0.187,0.032,0.038,0.014,0.106,0.243,0.04,0.008,0.441,1.397,0.105,0,1.124,0.111,0.018,0,0.018,0,0.011,0,0.129,11.404,0,0,7.608,0.459,0,0,0,23.493,8.067
MT,BF,121,A,16,309,12,0.525,121A,C,0.058,0.011,0.017,0,0.054,0.084,0,0,0.109,0.442,0.033,0,0.589,0.041,0,0,0,0,0,0,0.067,3.003,0,0,0.039,7.928,0,0,0,12.475,7.967
WI,BOL,15,B,16,310,257,0.2978,15B,T,0.074,0.013,0.006,0,0.544,0.085,0.009,0.001,0.152,0.424,0.024,0,0.596,0.052,0.005,0,0,0,0.001,0,0.082,5.215,0,0,3.11,0.13,0,0.01,0.017,10.549,3.24
MT,MS,219,B,16,311,37,0.298,219B,T,0.096,0.029,0.047,0.012,0.083,0.116,0.023,0.011,0.226,0.707,0.051,0,0.515,0.085,0.022,0.007,0.011,0,0.007,0,0.012,5.349,0,0,6.775,0.518,0,0,0,14.7,7.293
WI,BEN,170,A,16,312,302,1.398,170A,C,0.213,0.04,0.025,0.012,0.231,0.206,0.03,0.016,0.199,0.888,0.082,0.007,0.685,0.121,0.036,0.009,0.015,0,0.011,0,0.342,1.948,0,0,0.052,18.574,0.044,0.02,0.027,23.836,18.626
MT,MPG,80,B,16,313,276,2.981,80B,T,0.26,0.039,0.028,0.011,0.091,0.291,0.055,0.017,0.47,1.466,0.14,0.006,0.711,0.095,0.017,0.003,0.016,0,0.011,0,0.01,7.405,0,0,11.217,0.945,0,0,0.019,23.321,12.162
WI,BEN,163,A,16,314,232,0.7966,163A,T,0.08,0.027,0.031,0.007,0.345,0.104,0.018,0.005,0.167,0.599,0.04,0,0.644,0.113,0.027,0,0.015,0,0.019,0,0,3.393,0,0,13.443,1.078,0,0,0.018,20.173,14.521
WI,SDA,119,A,16,315,263,1.5822,119A,T,0.062,0.016,0.021,0,0.154,0.074,0.023,0,0.117,0.384,0.03,0,0.404,0.049,0.014,0,0.011,0,0,0,0.109,3.147,0,0,5.393,0.124,0,0.014,0.022,10.168,5.517
MT,MPG,83,B,16,316,236,0.5514,83B,C,0.076,0.016,0.009,0,0.026,0.108,0.01,0.004,0.091,0.7,0.046,0,0.567,0.046,0.008,0,0.009,0.002,0.003,0,0.023,2.857,0,0,0.06,10.474,0,0,0.009,15.146,10.534
WI,SDA,120,B,16,317,264,2.0732,120B,T,0.009,0.003,0,0,0.118,0.013,0,0,0.015,0.27,0.01,0,0.068,0.011,0,0,0,0,0,0,0.032,1.146,0,0,1.402,0,0,0,0,3.097,1.402
MT,MPG,203,B,16,318,NA,NA,203B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WI,BEN,172,A,16,319,271,1.183,172A,T,0.093,0.023,0.009,0.006,0.104,0.102,0.019,0.007,0.357,0.448,0.042,0.005,0.618,0.029,0.007,0,0.004,0,0,0,0.031,2.415,0,0,2.679,0.201,0,0.007,0.008,7.214,2.88
WI,STB,137,A,17,320,300,1.907,137A,T,0.046,0.009,0,0,0.113,0.049,0.008,0.004,0.037,0.683,0.028,0,0.187,0.037,0.01,0,0.008,0.019,0.003,0,0.193,2.232,0,0,3.121,0.02,0,0.013,0.024,6.846,3.141
WI,BOL,210,A,17,321,315,1.3114,210A,C,0.044,0.016,0.012,0.003,0.283,0.079,0.011,0.006,0.09,0.606,0.039,0,0.529,0.029,0.008,0.002,0.006,0,0.01,0,0.008,1.729,0,0,0.015,4.657,0,0.007,0.012,8.199,4.672
WI,BOL,212,B,17,322,288,0.879,212B,C,0.129,0.024,0.018,0.009,0.783,0.179,0.025,0.01,0.158,0.979,0.078,0.006,0.571,0.196,0.033,0.009,0.025,0.003,0.016,0,0.027,1.278,0,0,0.316,29.407,0.055,0.008,0.016,34.358,29.723
MT,CWN,48,B,17,323,286,0.777,48B,C,0.106,0.015,0.012,0.004,0.06,0.121,0.021,0.006,0.188,0.604,0.053,0,0.684,0.019,0.004,0,0.006,0,0,0,0.143,2.552,0,0,0.012,5.475,0,0,0.002,10.087,5.487
WI,BOL,17,B,17,324,328,1.4365,17B,C,0.104,0.019,0.009,0,0.251,0.123,0.009,0.004,0.113,0.648,0.047,0.001,0.391,0.061,0.008,0,0.001,0,0.001,0,0.001,2.761,0,0,0.018,10.09,0.008,0,0.01,14.677,10.108
WI,STB,198,B,17,325,225,1.5043,198B,T,0.046,0.013,0.007,0.003,0.09,0.052,0.009,0.005,0.07,0.219,0.021,0,0.171,0.02,0.004,0,0.005,0,0,0,0.102,2.06,0,0,1.563,0,0,0.011,0.024,4.495,1.563
MT,NH,10,A,17,326,322,0.4643,10A,T,0.182,0.022,0.147,0,0,0.219,0.023,0.003,0.271,1.325,0.076,0,0.425,0.086,0.006,0,0.005,0,0,0,0,9.451,0,0,11.845,0.791,0,0,0,24.878,12.636
MT,MS,157,A,17,327,295,1.099,157A,T,0.079,0.016,0.018,0,0.055,0.101,0.02,0.008,0.153,0.541,0.04,0,0.336,0.073,0.015,0,0.009,0,0,0,0,6.829,0,0,11.253,0.989,0,0,0.015,20.55,12.242
MT,MS,161,A,17,328,326,1.084,161A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,MS,152,C,17,329,303,0.557,152C,T,0.102,0.02,0.009,0.004,0.071,0.097,0.016,0.006,0.146,0.739,0.043,0.002,0.374,0.114,0.02,0.009,0.016,0.003,0.008,0.007,0.013,5.415,0,0,10.937,0.922,0,0,0.006,19.1,11.859
MT,MS,157,C,17,330,291,0.595,157C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,MS,154,A,17,331,237,0.5817,154A,T,0.092,0.019,0.008,0.005,0.108,0.094,0.014,0.006,0.102,1.083,0.046,0,0.298,0.089,0.015,0.006,0.014,0.012,0.008,0,0.019,4.747,0,0,9.053,0.64,0,0,0.013,16.493,9.693
WI,BEN,209,D,17,332,18,3.091,209D,C,0.062,0.012,0.005,0.006,0.132,0.052,0.009,0.005,0.046,0.23,0.023,0.002,0.138,0.026,0.006,0,0.005,0,0.003,0,0.051,1.671,0,0,0.008,4.214,0,0,0.025,6.729,4.222
MT,BF,215,B,17,333,268,0.6165,215B,C,0.167,0.032,0.016,0.012,0.041,0.207,0.041,0.013,0.277,0.817,0.086,0.007,1.445,0.057,0.009,0,0.009,0,0.007,0,0.007,3.02,0,0,0.023,12.168,0,0,0.023,18.483,12.191
WI,BOL,14,B,17,334,261,1.6295,14B,T,0.075,0.012,0.003,0,0.023,0.079,0.014,0.006,0.115,0.583,0.048,0,0.171,0.034,0.006,0,0,0,0,0,0,4.381,0,0,3.761,0.356,0,0,0,9.667,4.117
MT,MS,150,C,17,335,262,0.4637,150C,T,0.124,0.024,0.019,0.008,0.031,0.122,0.02,0.011,0.193,0.567,0.054,0,0.59,0.08,0.018,0.005,0.015,0,0.006,0,0.01,4.333,0,0,8.223,0.502,0,0,0.04,14.995,8.725
WI,BEN,170,C,17,336,267,0.9063,170C,C,0,0.014,0.003,0,0.197,0.037,0.007,0.004,0.034,0.213,0.016,0,0.142,0.022,0.007,0,0,0,0,0,0.122,1.784,0,0,0.012,3.833,0,0.014,0.017,6.474,3.845
WI,BEN,169,D,17,337,270,1.486,169D,G,0,0,0,0,0.07,0.079,0,0,0.004,0.022,0,0.007,0.048,0.023,0.039,0.005,0,0,0.004,0.053,0.029,0,24.758,0.393,0,0,0,0.037,0.038,25.61,0
MT,MS,150,B,17,338,244,0.6826,150B,T,0.043,0.004,0,0,0.027,0.068,0.011,0.007,0.077,0.437,0.031,0,0.201,0.024,0,0,0,0,0,0,0,2.618,0,0,5.636,0.248,0,0,0.009,9.442,5.884
MT,NH,7,A,17,339,259,0.215,7A,T,0.272,0.034,0.03,0.01,0.026,0.278,0.039,0.013,0.426,2.381,0.135,0,1.084,0.239,0.068,0.011,0.036,0,0.027,0,0.012,17.494,0,0,17.928,2.035,0.005,0,0.015,42.597,19.963
MT,MPG,84,B,18,340,254,0.7761,84B,T,0.059,0.016,0.005,0.003,0.005,0.053,0.006,0.004,0.024,0.94,0.035,0,0.064,0.061,0.012,0.004,0.005,0.019,0.003,0,0.121,0.888,0,0,3.819,0.129,0,0,0.006,6.28,3.948
WI,SDA,110,A,18,341,308,1.469,110A,T,0.017,0.003,0,0,0.093,0.025,0,0,0.043,0.134,0.006,0,0.109,0.01,0,0,0,0,0,0,0.035,1.491,0,0,1.351,0.08,0,0,0,3.398,1.431
MT,BF,130,B,18,342,249,1.8568,130B,C,0.129,0.016,0.022,0,0.042,0.21,0.033,0.011,0.292,1.212,0.086,0.001,1.581,0.065,0,0,0.007,0,0,0,0.254,5.655,0,0,0.025,9.875,0,0,0,19.519,9.9
WI,SDA,109,A,18,343,217,2.085,109A,T,0.065,0.012,0.007,0.003,0.063,0.076,0.016,0.005,0.117,0.344,0.033,0,0.292,0.025,0,0,0,0,0,0,0.125,2.589,0,0,2.225,0.093,0,0,0.012,6.103,2.318
WI,BEN,173,A,18,344,340,2.635,173A,C,0.077,0.022,0.009,0.003,0.142,0.082,0.013,0.007,0.072,0.331,0.032,0,0.236,0.033,0.009,0,0,0,0,0,0.184,2.004,0,0,0.029,5.391,0,0.017,0.05,8.746,5.42
MT,BF,129,B,18,345,255,0.6357,129B,C,0.101,0.016,0.013,0,0.163,0.143,0.017,0.007,0.235,1.021,0.057,0.007,2.89,0.073,0.01,0.004,0.01,0,0.008,0,0.022,2.678,0,0,0.027,4.219,0,0,0.023,11.746,4.246
MT,NH,223,A,18,346,266,1.8213,223A,T,0.053,0.014,0,0,0.025,0.047,0.008,0.003,0.039,0.542,0.02,0,0.07,0.025,0,0,0.003,0.017,0.003,0,0.112,1.539,0,0,1.829,0.07,0,0,0,4.419,1.899
MT,MS,160,E,18,347,253,0.9268,160E,T,0.057,0.038,0,0,0.103,0.103,0.019,0.004,0.172,0.617,0.042,0.002,0.385,0.062,0.014,0.006,0.014,0,0.008,0,0.126,4.345,0,0,12.736,0.232,0,0,0,19.085,12.968
WI,STB,199,A,18,348,230,2.756,199A,T,0,0,0,0,0.188,0.016,0,0,0.023,0.138,0.006,0,0.044,0.016,0,0,0,0,0,0,0.037,1.254,0,0,2.67,0,0,0,0,4.392,2.67
WI,STB,143,B,18,349,313,2.346,143B,T,0.084,0.013,0.011,0,0.339,0.081,0.013,0.004,0.124,0.465,0.033,0,0.275,0.091,0.02,0.007,0.013,0,0.009,0,0.093,1.226,0,0,12.057,0.606,0.029,0.008,0.016,15.616,12.663
MT,MS,154,C,18,350,252,0.5901,154C,T,0.059,0.012,0.006,0.003,0.078,0.066,0.006,0.003,0.064,0.518,0.027,0,0.121,0.076,0.014,0.004,0.008,0,0.005,0,0.013,2.043,0,0,16.164,1.021,0,0,0,20.31,17.185
MT,MS,161,C,18,351,215,1.2929,161C,T,0.107,0.019,0.01,0.006,0.023,0.093,0.019,0.01,0.121,0.461,0.041,0.003,0.423,0.052,0.009,0.006,0.008,0,0.008,0,0.066,3.1,0,0,7.186,0.317,0,0.003,0.008,12.1,7.503
WI,BEN,208,D,18,352,274,2.407,208D,T,0.021,0.006,0.005,0,0.06,0.029,0.005,0.003,0.017,0.614,0.014,0,0.12,0.011,0.005,0,0,0.009,0,0,0,1.232,0,0,1.546,0.089,0,0,0,3.784,1.635
MT,CWN,229,A,18,354,250,0.4026,229A,T,0.142,0.02,0.015,0.007,0.1,0.157,0.029,0.008,0.296,0.797,0.068,0,0.607,0.098,0.016,0.004,0.011,0,0.012,0,0.153,7.283,0,0,10.146,0.508,0.009,0,0,20.484,10.654
WI,BEN,164,C,18,355,275,4.696,164C,C,0.024,0.006,0.002,0.002,0.145,0.03,0.006,0.003,0.031,0.145,0.012,0,0.136,0.018,0,0,0,0,0,0,0.054,1.239,0,0,0.022,4.14,0,0,0.005,6.019,4.162
MT,MS,159,D,18,356,251,0.9337,159D,T,0.058,0.01,0.004,0.003,0.005,0.046,0.006,0.005,0.04,0.615,0.023,0,0.082,0.036,0.008,0,0.003,0.009,0,0,0.011,1.594,0,0,3.28,0.226,0,0,0,6.064,3.506
WI,BEN,167,D,18,357,265,1.7112,167D,T,0.015,0.008,0,0,0.059,0.018,0.005,0.002,0.024,0.078,0.008,0,0.047,0.009,0,0,0,0,0,0,0,0.689,0,0,1.379,0,0,0,0,2.343,1.379
MT,MS,220,A,18,358,273,2.012,220A,T,0.081,0.019,0.007,0.005,0.004,0.085,0.015,0.006,0.106,0.365,0.039,0,0.284,0.03,0.005,0.003,0.003,0,0.005,0,0.006,2.057,0,0,4.859,0.429,0,0,0.003,8.416,5.288
WI,SDA,227,C,18,359,235,0.5234,227C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WI,SDA,227,D,18,353,65,0.768,227D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,147,A,NA,NA,NA,NA,NA,T,0.292,0.044,0.033,0.014,0.506,0.312,0.05,0.014,0.493,1.429,0.127,0.008,1.529,0.184,0.029,0.009,0.022,0,0.019,0,0.312,4.386,0,0,27.205,1.382,0.013,0.011,0.034,38.457,28.587
NA,NA,147,C,NA,NA,NA,NA,NA,C,0.062,0.008,0.005,0,0.112,0.052,0.012,0.004,0.06,0.209,0.018,0,0.267,0.017,0,0,0,0,0,0,0.053,1.877,0,0,0.005,2.737,0,0,0.013,5.511,2.742
NA,NA,228,B,NA,NA,NA,NA,NA,T,0.031,0,0.011,0,0.11,0.055,0.017,0.008,0.087,0.303,0.029,0,0.172,0.029,0,0,0,0,0,0,0.058,3.139,0,0,2.447,0,0,0,0,6.497,2.447
